#NUMBER	STATUS	HOP-TIME	CNNC-AT-HOP	DFSA-AT-HOP	NNC-AT-HOP
1	trans	344.25	95.664659204888068	3.4019853532381079	120.59525758044074
2	trans	499.0	120.91447534140201	4.1914932986875622	119.50440479288328
3	cis	429.75	95.920592733040863	2.0936858617633285	126.67125747710044
4	trans	353.25	88.755305479388994	5.2011424775204098	122.79026254177957
5	trans	306.5	110.99704519279457	3.3473290973422305	129.41066382287275
6	trans	183.75	127.34739580401722	0.82076501991575479	123.21651776059916
7	trans	175.5	99.560188731372136	3.737864401969401	131.18484589226983
8	trans	676.0	109.80418916923071	2.2012068419073461	129.17449414824299
9	trans	539.75	104.53124823021697	3.389131164473409	128.89875789747154
10	trans	155.0	99.902249280502446	0.52906618173734254	126.32370978047854
11	trans	317.25	97.270549719667287	2.5687960704138071	124.33924510992905
12	trans	303.5	102.35766248740418	5.12151904785898	125.61545105901286
13	trans	270.25	100.16700177996572	0.72852460167236011	128.26525504921352
14	cis	645.0	94.024305556411548	1.9716048944038338	127.36738198546659
15	cis	452.75	88.518271237681546	4.0491728501519733	124.96264421548818
16	trans	238.5	106.26411743551662	2.8815408782622542	128.27306508406821
17	cis	424.0	78.446141468274021	2.2286970839737164	117.36570650030755
18	cis	413.75	82.722571120848826	0.36273247691944821	115.95575980443817
19	cis	385.75	92.255243412151657	5.2811201107625134	124.41725438674082
20	trans	276.5	102.53454346727473	1.6386805553532535	126.28981539800351
21	trans	405.25	100.80551378531339	3.9879428719675181	119.19583062899559
22	trans	605.0	109.9723603864164	6.9886651976139333	125.52887588205726
23	trans	356.0	112.6704859658774	0.86895396109189482	127.27192063721553
24	trans	476.0	95.840035283250373	6.1428583338101683	121.63573772277732
25	trans	312.0	104.86862700870947	2.0531961641425416	126.59256954236258
26	trans	185.75	123.37969852265672	10.269093151943942	117.77088643329742
27	trans	211.5	124.96387677407108	8.5057992535801219	123.64713430539676
28	trans	396.25	96.706333256786266	5.753371523338326	117.53196766061549
29	trans	678.0	114.77950215341505	4.2845132686981584	124.37580223710579
30	cis	278.25	95.683210536303079	14.542981390459095	124.61576645732541
31	trans	292.0	115.25760225700542	6.2559213077182854	118.75834224110619
32	trans	178.5	111.0369314612541	5.6075103627420502	120.88927607618832
33	trans	262.25	98.296637334796657	4.7929105743528861	126.62002093680634
34	cis	271.75	94.960229724921163	2.6800270264293213	127.48533433297604
35	cis	311.75	97.688689673410252	1.0342813106703392	126.72158804104386
36	cis	373.5	94.061864983036614	3.245603759540062	126.61302815291094
37	trans	811.25	111.81322154905867	5.2828269462915207	131.46513618200495
38	trans	306.0	100.16380881858673	18.796724898797098	132.18724488908194
39	trans	528.0	115.8476042728381	11.058122931240085	118.68381612727578
40	trans	295.25	100.36666373726877	1.667374801785044	119.33148500880088
41	trans	501.0	98.936242674646579	2.6298420326715473	126.52774903405371
42	trans	215.0	101.37402850149624	3.4956444233602357	127.67673059576045
43	cis	264.5	92.491747167889756	7.7635826502000915	124.37310164713395
44	trans	313.5	102.22325448629371	11.947379812139841	129.84589406389566
45	trans	310.5	114.95974896866554	9.1678505538712329	126.97401566557943
46	trans	346.25	104.22427786170809	5.0631908683457043	125.79617199577102
47	trans	374.5	104.50500707487376	10.348672578645054	128.40732047041328
48	trans	631.0	117.55390967701247	1.0250365777384183	122.32779863431232
49	cis	505.25	70.448660124597779	13.368602794079035	128.70947940918606
50	trans	170.75	100.93368777376404	1.0810132114259723	136.35853584615387
51	trans	490.5	111.92804996835882	8.7683024967070917	127.86055993876219
52	trans	683.25	99.638719073289082	6.1131710850819667	122.67423152117021
53	trans	315.0	109.19049223166537	2.7564261917114048	128.71858213563033
54	cis	403.5	95.605366324105148	0.58541289310921885	123.10462376476632
55	trans	283.75	95.411713579689447	11.73598819666085	127.92314699648297
56	trans	313.25	102.63985291028905	6.0660173137584987	129.99025715436258
57	trans	228.25	106.16732357677935	4.094723505482154	119.34518897688822
58	trans	221.25	105.59247759072511	8.130275623353258	135.16852848349296
59	trans	170.75	123.19085396505513	2.3769013130432373	125.24811912432163
60	trans	217.5	110.65968288675346	3.2279712693063121	124.83471726405791
61	trans	301.25	102.58348204128016	2.4989148117085658	129.28393452127239
62	trans	7.5	171.13573249402469	0.82507227857370158	122.92146917312331
63	cis	380.5	101.04098167783658	0.2804030838629592	117.83764554467155
64	cis	174.5	106.16035951567429	1.2906673500032597	133.60224347891739
65	trans	173.25	103.29033471165511	3.06888606644576	130.68160827920977
66	cis	260.0	91.704249723314462	1.9339611958894316	127.17335330453891
67	cis	526.25	102.24565349303978	2.8519925614489359	122.64766325754664
68	trans	414.25	126.60257565693847	9.2386667071963284	121.69765825534988
69	cis	264.0	97.894129919153215	1.3988032428932844	126.66336440968094
70	trans	336.75	112.91030343067268	1.6493261738876024	123.42189441933374
71	trans	320.5	123.33498459970957	5.617776134327622	122.76410124076762
72	trans	70.25	116.40339393678026	1.5318938421459862	143.24368404829357
73	trans	334.0	97.356996310766604	6.9701636510662297	125.73572282002073
74	trans	361.0	97.885974979705423	8.0685599095708138	122.47639979551973
75	trans	401.25	107.0222580045166	7.1973050987220804	126.35436584455523
76	cis	582.25	100.70007585056838	6.7972119431893097	139.0987429689429
77	cis	362.5	97.678999203852285	5.4279639589105733	123.37416334636167
78	trans	362.75	114.03715567152528	2.368717300937571	124.86923332208018
79	cis	671.5	88.743362780586367	1.6002888942063676	134.90423070720601
80	cis	311.75	102.82045521815022	3.4900562362225123	131.63285462068029
81	cis	357.0	94.179974178526734	8.8718521991086874	127.08909946277461
